user_id#merchant_id,prob
7562#3571,0.01
7562#4784,0.015
7562#3404,0.54
7562#3246,0.01
103815#3172,0.0
52634#794,0.035
52634#4449,0.045
24631#4289,0.01
3694#2275,0.035
37792#508,0.015
64438#3965,0.025
13299#2409,0.01
103182#2357,0.03
78703#4863,0.05
71484#2454,0.035
61986#3100,0.04
7032#2809,0.015
7032#637,0.015
102818#4072,0.055
17364#2459,0.02
53913#3056,0.03
16734#3854,0.015
16734#2454,0.015
100536#4345,0.07
100536#872,0.02
7497#2780,0.08
3412#820,0.02
92600#741,0.04
47205#646,0.015
80810#210,0.015
72265#4725,0.035
83143#2233,0.02
89236#4780,0.535
89236#3597,0.04
93080#2592,0.025
93080#3945,0.03
1220#4161,0.52
79311#2254,0.035
83548#3587,0.56
83548#2977,0.01
83548#4072,0.08
27311#2459,0.05
97944#3228,0.065
100581#3652,0.07
25005#294,0.045
92897#1897,0.02
36365#1472,0.035
7014#1363,0.015
101468#28,0.01
1670#3714,0.035
57946#2727,0.02
17064#2561,0.025
7112#2904,0.04
92339#1785,0.01
39417#3965,0.04
39417#1723,0.025
47098#1581,0.01
8276#3131,0.015
31157#1360,0.025
20066#4103,0.04
100196#4691,0.015
90014#451,0.035
51479#3859,0.02
105483#1053,0.04
60144#2642,0.025
68364#3080,0.04
59614#1363,0.005
30724#4863,0.015
44922#1733,0.025
100465#2888,0.03
67193#2867,0.035
67193#3123,0.04
67193#3539,0.03
70312#3171,0.025
87075#4271,0.0
87075#2056,0.0
87075#4061,0.0
19316#814,0.025
83091#3818,0.03
83091#2437,0.015
83091#1245,0.02
91279#4091,0.045
91279#1396,0.06
95933#4836,0.02
104292#1811,0.09
70219#4072,0.03
89320#2770,0.04
41681#4995,0.01
44711#458,0.535
79697#2041,0.015
96293#4782,0.03
61030#1245,0.03
41947#3692,0.025
103257#2290,0.01
11235#1472,0.02
18918#4695,0.0
78493#4330,0.015
54603#2423,0.015
72161#2182,0.025
72161#991,0.035
14433#635,0.025
68299#332,0.02
37608#2806,0.03
35140#1785,0.03
24419#1376,0.015
46345#844,0.08
66966#3218,0.02
101433#4072,0.025
